agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
learning,hard,19,caught,1270,67,9.13,22,3,16,2,252.6
greedy,hard,19,win,890,91,12.285,0,0,18,8,2855.8
random,hard,19,caught,220,84,11.34,55,0,66,32,-860.8
table_driven,hard,20,caught,70,12,1.65,66,0,5,1,-934.4
simple_reflex,hard,20,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,hard,20,win,890,161,21.735,0,0,85,2,2853.8
goal_based,hard,20,win,1490,95,12.825,0,3,22,8,3455.0
utility_based,hard,20,caught,1180,68,9.24,27,3,22,2,162.4
learning,hard,20,caught,1270,70,9.45,22,3,19,7,242.0
greedy,hard,20,win,890,91,12.285,0,0,18,8,2855.8
random,hard,20,caught,220,84,11.34,55,0,66,32,-860.8
