agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
utility_based,normal,22,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,22,caught,2060,146,19.71,3,6,73,13,1004.8
greedy,normal,22,win,890,91,12.285,0,0,18,8,2855.8
random,normal,22,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,23,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,23,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,23,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,23,win,1490,127,17.145,0,3,54,10,3444.6
utility_based,normal,23,win,1490,181,24.435,0,3,105,6,3441.8
learning,normal,23,win,1490,147,19.845,0,3,71,8,3444.6
greedy,normal,23,win,890,91,12.285,0,0,18,8,2855.8
random,normal,23,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,24,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,24,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,24,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,24,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,24,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,24,win,1490,125,16.875,0,3,52,6,3453.0
greedy,normal,24,win,890,91,12.285,0,0,18,8,2855.8
random,normal,24,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,25,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,25,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,25,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,25,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,25,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,25,win,1490,147,19.845,0,3,74,7,3446.6
greedy,normal,25,win,890,91,12.285,0,0,18,8,2855.8
random,normal,25,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,26,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,26,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,26,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,26,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,26,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,26,win,1490,115,15.525,0,3,42,8,3451.0
greedy,normal,26,win,890,91,12.285,0,0,18,8,2855.8
random,normal,26,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,27,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,27,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,27,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,27,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,27,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,27,win,1490,135,18.225,0,3,62,4,3455.0
greedy,normal,27,win,890,91,12.285,0,0,18,8,2855.8
random,normal,27,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,28,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,28,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,28,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,28,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,28,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,28,win,1290,151,20.385,0,2,78,12,3235.8
greedy,normal,28,win,890,91,12.285,0,0,18,8,2855.8
random,normal,28,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,29,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,29,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,29,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,29,win,1490,123,16.605,0,3,50,9,3447.4
